,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
809,2010.04.19,19-Apr-10,2010,USA,"Hanalei Bay, Kauai",Swimming/Surfing/Boogie Boarding,M,68,N
810,2010.04.13,13-Apr-10,2010,SOUTH AFRICA,"East Beach, Port Alfred",Swimming/Surfing/Boogie Boarding,M,35,N
811,2010.04.04,04-Apr-10,2010,EGYPT,Sharm el-Sheikh ,,M,24,N
812,2010.03.27, 27-Mar-2010,2010,REUNION,Bittern,Swimming/Surfing/Boogie Boarding,M,34,N
813,2010.02.19,190Feb-2010,2010,NEW ZEALAND,Tahunanui Beach,Swimming/Surfing/Boogie Boarding,M,,N
814,2010.02.16,16-Feb-10,2010,SOUTH AFRICA,Yellow Sands Point,Swimming/Surfing/Boogie Boarding,M,,N
815,2010.02.15,15-Feb-10,2010,FIJI,Nara Reef,Diving/Scuba Diving/Freediving,M,19,Y
816,2010.02.13,13-Feb-10,2010,AUSTRALIA,"Dent Island, Whitsundays",Diving/Scuba Diving/Freediving,F,60,N
817,2010.02.11,11-Feb-10,2010,AUSTRALIA,"Mona Vale Beach, Sydney",Swimming/Surfing/Boogie Boarding,M,46,N
818,2010.02.06.R,Reported 06-Feb-2010,2010,NEW ZEALAND,Cosy Nook,Fishing/Spearfishing,M,,N
819,2010.02.06.b,06-Feb-10,2010,AUSTRALIA,Turners' Beach,Swimming/Surfing/Boogie Boarding,M,18,N
820,2010.02.06.a,06-Feb-10,2010,USA,Riviera Beach,,M,,N
821,2010.02.04,04-Feb-10,2010,GUAM,Achang Reef,,M,31,Y
822,2010.02.03,03-Feb-10,2010,USA,"Stuart, Martin County",,M,38,Y
823,2010.02.01,01-Feb-10,2010,NEW ZEALAND,Oreti Beach,Swimming/Surfing/Boogie Boarding,F,14,N
824,2010.01.30,31-Jan-10,2010,BRAZIL,"Atlantis Beach, near Tramandai",Swimming/Surfing/Boogie Boarding,M,29,N
825,2010.01.27,27-Jan-10,2010,AUSTRALIA,Archie's Beach,Swimming/Surfing/Boogie Boarding,M,,N
826,2010.01.22.b,22-Jan-10,2010,UNITED ARAB EMIRATES (UAE),"Umm Suqeim Beach, Dubai",Swimming/Surfing/Boogie Boarding,M,54,N
827,2010.01.22.a,22-Jan-10,2010,AUSTRALIA,Geelong,Swimming/Surfing/Boogie Boarding,M,,N
828,2010.01.12,12-Jan-10,2010,SOUTH AFRICA,Fish Hoek,Standing/Wading/Walking,M,37,Y
829,2010.01.09.d,09-Jan-10,2010,AUSTRALIA,Thursday Island,Diving/Scuba Diving/Freediving,F,9,N
830,2010.01.09.c,09-Jan-10,2010,VIETNAM,Quy Nhon ,,F,,N
831,2010.01.09.b,09-Jan-10,2010,VIETNAM,Quy Nhon ,,M,,N
832,2010.01.09.a,09-Jan-10,2010,VIETNAM,Quy Nhon ,Standing/Wading/Walking,M,,N
833,2010.01.06,06-Jan-10,2010,USA,Elliot Key,Fishing/Spearfishing,M,32,N
834,2010.01.05,05-Jan-10,2010,SOUTH AFRICA,"Nahoon, East London",Swimming/Surfing/Boogie Boarding,M,,N
835,2009.12.29,29-Dec-09,2009,SOUTH AFRICA,Port Alfred,Standing/Wading/Walking,M,20,N
836,2009.12.26,26-Dec-09,2009,AUSTRALIA,Avoca Beach,Swimming/Surfing/Boogie Boarding,M,55,N
837,2009.12.22,22-Dec-09,2009,MOZAMBIQUE,Ponta do Ouro,Swimming/Surfing/Boogie Boarding,M,27,N
838,2009.12.20.b,20-Dec-09,2009,AUSTRALIA,Mudjimba Island,Kayaking/Canoeing/Rowing,M,,N
839,2009.12.20.a,20-Dec-09,2009,AUSTRALIA,Lamont Reef,Fishing/Spearfishing,M,18,N
840,2009.12.18,18-Dec-09,2009,SOUTH AFRICA,"Second Beach, Port St. Johns",,M,22,Y
841,2009.12.18,18-Dec-09,2009,SOUTH AFRICA,"North Beach, Durban",Swimming/Surfing/Boogie Boarding,M,,N
842,2009.12.16,16-Dec-09,2009,NEW ZEALAND,Clark Island,,M,24,Y
843,2009.12.13,13-Dec-09,2009,AUSTRALIA,Coffee Head,Swimming/Surfing/Boogie Boarding,M,39,N
844,2009.12.12,12-Dec-09,2009,AUSTRALIA,Hawks Nest Beach,Kayaking/Canoeing/Rowing,Unknown,,N
845,2009.12.06,05-Dec-09,2009,USA,"Adventure Aquarium, Camden",Diving/Scuba Diving/Freediving,M,58,N
846,2009.11.25,25-Nov-09,2009,USA,"Huntington Beach, Orange County",Swimming/Surfing/Boogie Boarding,M,49,N
847,2009.11.24,24-Nov-09,2009,USA,"Lori Wilson Park, Cocoa Beach, Brevard County",Standing/Wading/Walking,M,10,N
848,2009.11.16.b,16-Nov-09,2009,USA,"Loch Lomond, Marin County",Fishing/Spearfishing,M,31,N
849,2009.11.16.a,16-Nov-09,2009,USA,"Jupiter, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,22,N
850,2009.11.13,13-Nov-09,2009,USA,"Jupiter, Palm Beach County",Swimming/Surfing/Boogie Boarding,F,27,N
851,2009.11.11,11-Nov-09,2009,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,18,N
852,2009.11.08,08-Nov-09,2009,AUSTRALIA,Second Valley,Kayaking/Canoeing/Rowing,M,25,N
853,2009.11.05,05-Nov-09,2009,USA,"Davenport, Santa Cruz County",Swimming/Surfing/Boogie Boarding,M,21,N
854,2009.10.30,30-Oct-09,2009,AUSTRALIA,Portland,Kayaking/Canoeing/Rowing,M,27,N
855,2009.10.29.R,Reported 29-Oct-2009,2009,MOZAMBIQUE,Off Vilanculo,Fishing/Spearfishing,M,,N
856,2009.10.28,28-Oct-09,2009,AUSTRALIA,Lennox Heads,,F,17,N
857,2009.10.24,24-Oct-09,2009,USA,"San Onofre, San Diego County ",Swimming/Surfing/Boogie Boarding,M,,N
858,2009.10.19,19-Oct-09,2009,USA,"Kalama Park, Maui",Swimming/Surfing/Boogie Boarding,M,54,N
859,2009.10.18,18-Oct-09,2009,PANAMA,Playa La Cabaña ,Standing/Wading/Walking,F,10,N
860,2009.10.17,17-Oct-09,2009,UNITED KINGDOM,Deep Sea World Aquarium,Diving/Scuba Diving/Freediving,M,23,N
861,2009.10.14.R,Reported 14-Oct-2009,2009,AUSTRALIA,,Diving/Scuba Diving/Freediving,M,23,N
862,2009.10.09,09-Oct-09,2009,USA,"San Onofre State Beach, San Diego County",Swimming/Surfing/Boogie Boarding,M,,N
863,2009.10.02,02-Oct-09,2009,UNITED KINGDOM,Mewstone Rock,Fishing/Spearfishing,M,39,N
864,2009.09.26,26-Sep-09,2009,USA,"Key Colony Beach, Monroe County",Swimming/Surfing/Boogie Boarding,M,,N
865,2009.09.18,18-Sep-09,2009,VIETNAM,,,M,,N
866,2009.09.15,15-Sep-09,2009,SOMALIA,300 miles off the coast ,Fishing/Spearfishing,M,,N
867,2009.09.13,13-Sep-09,2009,BRAZIL,"Piedade, Recife",,M,34,Y
868,2009.09.12,12-Sep-09,2009,USA,"Corolla, Currituck County",Swimming/Surfing/Boogie Boarding,M,60,Y
869,2009.09.07,07-Sep-09,2009,BRAZIL,"Piedade, Recife",,M,15,Y
870,2009.09.02,02-Sep-09,2009,NEVIS,Castle Beach,Swimming/Surfing/Boogie Boarding,M,,Y
871,2009.09.01,01-Sep-09,2009,SOLOMON ISLANDS,"Kirakira, Makira Island (formerly San Cristobal)",Fishing/Spearfishing,M,,N
872,2009.08.30,30-Aug-09,2009,USA,"Huntington Beach, Orange County",Swimming/Surfing/Boogie Boarding,M,,N
873,2009.08.29,29-Aug-09,2009,SOUTH AFRICA,Glentana,Swimming/Surfing/Boogie Boarding,M,25,Y
874,2009.08.25,25-Aug-09,2009,USA,"Terramar Beach, Carlsbad, San Diego County",Swimming/Surfing/Boogie Boarding,F,22,N
875,2009.08.11,11-Aug-09,2009,SOUTH AFRICA,Alkantstrand ,Swimming/Surfing/Boogie Boarding,M,,N
876,2009.08.10,10-Aug-09,2009,USA,"Ponce, Volusia County",Swimming/Surfing/Boogie Boarding,M,26,N
877,2009.08.06,06-Aug-09,2009,USA,Kawa'a ,Swimming/Surfing/Boogie Boarding,M,,N
878,2009.08.01,01-Aug-09,2009,USA,"Curlew Island, Breton Sound",,M,56,N
879,2009.07.31,31-Jul-09,2009,BAHAMAS,Spanish Cay,Fishing/Spearfishing,M,14,N
880,2009.07.30,30-Jul-09,2009,AUSTRALIA,Broken Head,Swimming/Surfing/Boogie Boarding,M,14,N
881,2009.07.29,29-Jul-09,2009,VIETNAM,Quy Nhon ,Swimming/Surfing/Boogie Boarding,F,41,N
882,2009.07.24.R,Reported 24-Jul-2009,2009,KENYA,Likoni Channel,,M,,Y
883,2009.07.24.b,24-Jul-09,2009,USA,South Padre Island,Standing/Wading/Walking,F,14,N
884,2009.07.24.a,24-Jul-09,2009,SPAIN,Sant Salvador,Swimming/Surfing/Boogie Boarding,F,11,N
885,2009.07.22.b,22-Jul-09,2009,USA,Holden Beach. Brunswick County,Swimming/Surfing/Boogie Boarding,F,26,N
886,2009.07.22.a,22-Jul-09,2009,USA,"Intracoastal Waterway,      St. Petersburg",Swimming/Surfing/Boogie Boarding,F,19,N
887,2009.07.18,18-Jul-09,2009,VIETNAM,Quy Nhon ,Swimming/Surfing/Boogie Boarding,M,57,N
888,2009.07.11.b,11-Jul-09,2009,BAHAMAS,,Fishing/Spearfishing,M,,N
889,2009.07.11.a,11-Jul-09,2009,USA,"San Onofre, San Diego County ",,M,,N
890,2009.07.07,07-Jul-09,2009,SOUTH AFRICA,"Jogensfontein, Stilbaai",Swimming/Surfing/Boogie Boarding,M,37,N
891,2009.07.05,05-Jul-09,2009,USA,"Daytona Beach, Volusia County",Swimming/Surfing/Boogie Boarding,F,12,N
892,2009.07.04,04-Jul-09,2009,USA,"Biscayne National Park, Miami",Swimming/Surfing/Boogie Boarding,F,43,N
893,2009.06.27,27-Jun-09,2009,AUSTRALIA,"Seven Mile Beach, Gerroa",Swimming/Surfing/Boogie Boarding,M,52,N
894,2009.06.21,21-Jun-09,2009,USA,"Shell Beach, San Luis Obispo County",Swimming/Surfing/Boogie Boarding,M,26,N
895,2009.06.16,16-Jun-09,2009,USA,"Melbourne Beach, Brevard County",,M,14,N
896,2009.06.14.R,Reported 14-Jun-2009,2009,VIETNAM,,Fishing/Spearfishing,M,,N
897,2009.06.02.b,02-Jun-09,2009,EGYPT,Habili Gafar,Diving/Scuba Diving/Freediving,M,,N
898,2009.06.02.a,02-Jun-09,2009,EGYPT,Habili Gafar,Diving/Scuba Diving/Freediving,M,,N
899,2009.06.01,01-Jun-09,2009,EGYPT,Habili Gafar,Diving/Scuba Diving/Freediving,F,50,Y
900,2009.05.31,31-May-09,2009,TAIWAN,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing/Spearfishing,M,46,N
901,2009.05.25,25-May-09,2009,USA,"Clearwater Beach, Pinellas County",Swimming/Surfing/Boogie Boarding,M,,N
902,2009.05.17,17-May-09,2009,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,31,N
903,2009.05.16.b,16-May-09,2009,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,49,N
904,2009.05.16.a,16-May-09,2009,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,55,N
905,2009.05.12,12-May-09,2009,GUAM,Ritidian Point,Fishing/Spearfishing,M,27,N
906,2009.05.06,06-Mar-09,2009,BAHAMAS,,Fishing/Spearfishing,M,48,N
907,2009.04.28,28-Apr-09,2009,USA,"St. Augustine, St. John's County",,F,,N
908,2009.04.25.R,Reported 25-Apr-2009,2009,USA,"San Onofre State Beach, San Diego County",Swimming/Surfing/Boogie Boarding,M,,N
909,2009.04.21,21-Apr-09,2009,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,20,N
910,2009.04.20,20-Apr-09,2009,PHILIPPINES,Mabini,Swimming/Surfing/Boogie Boarding,M,23,N
911,2009.04.19,19-Apr-09,2009,USA,"Carlin Park, Jupiter Inlet",Swimming/Surfing/Boogie Boarding,M,52,N
912,2009.04.12,12-Apr-09,2009,AUSTRALIA,Fingal Bay,Kayaking/Canoeing/Rowing,M,40,N
913,2009.04.17.,17-Apr-09,2009,USA,"Walton Rocks, St Lucie County",Swimming/Surfing/Boogie Boarding,M,31,N
914,2009.04.11,11-Apr-09,2009,USA,Kona,Fishing/Spearfishing,M,49,N
915,2009.04.06.b,06-Apr-09,2009,SOUTH AFRICA,Umtentweni,Swimming/Surfing/Boogie Boarding,M,24,Y
916,2009.04.06.a,06-Apr-09,2009,USA,San Diego County,Fishing/Spearfishing,M,,N
917,2009.04.03,03-Apr-09,2009,USA,"Sanibel Island, Lee County",Standing/Wading/Walking,M,15,N
918,2009.03.27,27-Mar-09,2009,SOUTH AFRICA,2-3 km north of Sunday's River mouth,Fishing/Spearfishing,M,59,N
919,2009.03.21,21-Mar-09,2009,SOUTH AFRICA,"Second Beach, Port St. John's",Swimming/Surfing/Boogie Boarding,M,16,Y
920,2009.03.20,20-Mar-09,2009,AUSTRALIA,Blue Bay,Swimming/Surfing/Boogie Boarding,M,17,N
921,2009.03.19.b,19-Mar-09,2009,AUSTRALIA,South Broulee,Swimming/Surfing/Boogie Boarding,M,,N
922,2009.03.19.a,19-Mar-09,2009,AUSTRALIA,Bateman's Bay,Swimming/Surfing/Boogie Boarding,F,,N
923,2009.03.18.a,18-Mar-09,2009,USA,"Ponce Inlet, Volusia County",Swimming/Surfing/Boogie Boarding,F,17,N
924,2009.03.17.R,Reported 17-Mar-2009,2009,MALAYSIA,Pulau Payar Island,,F,,N
925,2009.03.17,17-Mar-09,2009,USA,Alenuihaha Channel,Swimming/Surfing/Boogie Boarding,M,61,N
926,2009.03.16.R,Reported 16-Mar-2009,2009,AUSTRALIA,"The Natural Jetty, Rottnest Island",Standing/Wading/Walking,M,21,N
927,2009.03.06,06-Mar-09,2009,NEW CALEDONIA,Bourail,Swimming/Surfing/Boogie Boarding,M,19,Y
928,2009.03.02,02-Mar-09,2009,SOUTH AFRICA,Off Cape Point,Fishing/Spearfishing,M,40,N
929,2009.03.01.b,01-Mar-09,2009,NEW ZEALAND,Taranaki,Fishing/Spearfishing,M,,N
930,2009.03.01.a,01-Mar-09,2009,AUSTRALIA,Avalon,Swimming/Surfing/Boogie Boarding,M,15,N
931,2009.02.22,22-Feb-09,2009,AUSTRALIA,Batt Reef,Fishing/Spearfishing,M,,N
932,2009.02.18,18-Feb-09,2009,AUSTRALIA,"Shelly Beach, near Port Macquarie",Swimming/Surfing/Boogie Boarding,M,,N
933,2009.02.12,12-Feb-09,2009,AUSTRALIA,"Bondi Beach, Sydney",Swimming/Surfing/Boogie Boarding,M,33,N
934,2009.02.11,11-Feb-09,2009,AUSTRALIA,"Garden Point, Woolloomooloo Sydney Harbour",,M,31,N
935,2009.02.08,08-Feb-09,2009,USA,Quebradillas,,M,,Y
936,2009.02.07.b,07-Feb-09,2009,AUSTRALIA,Cellito Beach,Swimming/Surfing/Boogie Boarding,M,41,N
937,2009.02.07.a,07-Feb-09,2009,AUSTRALIA,Sandon,Swimming/Surfing/Boogie Boarding,M,,N
938,2009.01.27.R,Reported 27-Jan-2009,2009,AZORES,Onboard the fishing vessel Nuevo Cedes ,Fishing/Spearfishing,M,49,N
939,2009.01.26.R,Reported 26-Jan-2009,2009,BRAZIL,Praia do Olho d'Aqua,,M,17,Y
940,2009.01.25,25-Jan-09,2009,CUBA,Guantanamo Bay,Fishing/Spearfishing,M,15,N
941,2009.01.24.c,24-Jan-09,2009,NEW ZEALAND,Alderman Islands,Fishing/Spearfishing,Unknown,,N
942,2009.01.24.b,24-Jan-09,2009,AUSTRALIA,"Surf Beach, Batemans Bay",Swimming/Surfing/Boogie Boarding,M,19,N
943,2009.01.24.a,24-Jan-09,2009,SOUTH AFRICA,"Second Beach, Port St. John's",Swimming/Surfing/Boogie Boarding,M,25,Y
944,2009.01.23,23-Jan-09,2009,BRAZIL,Olho d'Água ,Swimming/Surfing/Boogie Boarding,M,17,Y
945,2009.01.18,18-Jan-09,2009,AUSTRALIA,Off Tower Hill,Fishing/Spearfishing,M,,N
946,2009.01.16,16-Jan-09,2009,NEW ZEALAND,Karitane Beach,Swimming/Surfing/Boogie Boarding,M,,N
947,2009.01.13.R,Reported 13-Jan-2009,2009,SOUTH AFRICA,"Shark Alley, off Gansbaai",,Unknown,,Y
948,2009.01.12,12-Jan-09,2009,AUSTRALIA,"Windang,       Lake Illawara",Diving/Scuba Diving/Freediving,M,24,N
949,2009.01.11.b,11-Jan-09,2009,AUSTRALIA,Binalong Bay,Swimming/Surfing/Boogie Boarding,F,13,N
950,2009.01.11.a,11-Jan-09,2009,AUSTRALIA,Fingal Beach,Swimming/Surfing/Boogie Boarding,M,31,N
951,2009.01.10.R,    10-Jan-2009,2009,NEW ZEALAND,Hawkes Bay,Fishing/Spearfishing,Unknown,,N
952,2009.01.10.a,10-Jan-09,2009,ECUADOR,Isla Isabella,Swimming/Surfing/Boogie Boarding,M,22,N
953,2009.01.06,06-Jan-09,2009,NEW ZEALAND,Haumoana ,Swimming/Surfing/Boogie Boarding,M,49,N
954,2009.01.00,Jan-09,2009,CUBA,Guantanamo,Fishing/Spearfishing,Unknown,,N
955,2008.12.30,30-Dec-08,2008,AUSTRALIA,Port Kennedy Beach,,Unknown,,N
956,2008.12.27.d,27-Dec-08,2008,AUSTRALIA,near Schouten Island,,Unknown,,N
957,2008.12.27.c,27-Dec-08,2008,AUSTRALIA,Seal Rocks,Swimming/Surfing/Boogie Boarding,M,10,N
958,2008.12.27.b,27-Dec-08,2008,AUSTRALIA,"Long Reef, north of Sydney",Kayaking/Canoeing/Rowing,M,29,N
959,2008.12.27.a,27-Dec-08,2008,AUSTRALIA,Port Kennedy Beach,Diving/Scuba Diving/Freediving,M,51,Y
960,2008.12.20,20-Dec-08,2008,USA,"Dillon Beach, Marin County",Kayaking/Canoeing/Rowing,M,,N
961,2008.12.14,14-Dec-08,2008,NEW ZEALAND,Maraetai,Fishing/Spearfishing,M,,N
962,2008.12.10,10-Dec-08,2008,SOUTH AFRICA,Plettenberg Bay,Fishing/Spearfishing,M,15,N
963,2008.12.06,06-Dec-06,2008,AUSTRALIA,Mowarry Point,Fishing/Spearfishing,Unknown,,N
964,2008.12.00,Dec-08,2008,MOZAMBIQUE,Chidenguele,Fishing/Spearfishing,M,,Y
965,2008.11.28,28-Nov-08,2008,EGYPT,Elphinstone Reef,Diving/Scuba Diving/Freediving,F,,N
966,2008.11.25,25-Nov-08,2008,PHILIPPINES,Luzon Strait,,M,,N
967,2008.11.24,24-Nov-08,2008,ECUADOR,Santa Cruz,,F,,N
968,2008.11.09.b,09-Nov-08,2008,AUSTRALIA,North Haven,Fishing/Spearfishing,M,,N
969,2008.11.09.a,09-Nov-08,2008,TAIWAN,50 miles off Kaohsiung,,M,45,Y
970,2008.11.06,06-Nov-08,2008,PHILIPPINES,"off Paoay, Ilocos Norte Province",Fishing/Spearfishing,M,39,Y
971,2008.10.22,22-Oct-08,2008,AUSTRALIA,"Oceanworld, Manley",Diving/Scuba Diving/Freediving,M,34,N
972,2008.10.21,21-Oct-08,2008,NEW CALEDONIA,,Fishing/Spearfishing,M,24,N
973,2008.10.12,12-Oct-08,2008,AUSTRALIA,Darwin,Fishing/Spearfishing,M,50,N
974,2008.10.11,11-Oct-08,2008,AUSTRALIA,Lake Macquarie,Swimming/Surfing/Boogie Boarding,M,15,N
975,2008.10.08,08-Oct-08,2008,USA,"Santa Rosa Beach, Walton County",Fishing/Spearfishing,M,11,N
976,2008.10.06,06-Oct-08,2008,CROATIA,"Smokvina Bay, Vis Island",Fishing/Spearfishing,M,43,N
977,2008.09.28.b,28-Sep-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,44,N
978,2008.09.28.a,28-Sep-08,2008,USA,Bethune Beach,Swimming/Surfing/Boogie Boarding,M,40,N
979,2008.09.15,15-Sep-08,2008,AUSTRALIA,Near Croker Island,Swimming/Surfing/Boogie Boarding,M,43,N
980,2008.09.14,14-Sep-08,2008,USA,"Ormond-by-the-Sea, Volusia County",Swimming/Surfing/Boogie Boarding,M,32,N
981,2008.09.09,09-Sep-08,2008,USA,"Ka'a'awa, Oahu",Swimming/Surfing/Boogie Boarding,M,40,N
982,2008.09.08,08-Sep-08,2008,USA,"Surf Beach, Lompoc, Santa Barbara County",Swimming/Surfing/Boogie Boarding,M,,N
983,2008.09.07,07-Sep-08,2008,AUSTRALIA,"Clarks Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,51,N
984,2008.09.06.b,06-Sep-08,2008,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,43,N
985,2008.09.06.a,06-Sep-08,2008,USA,"Ponce Inlet, New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
986,2008.09.01,01-Sep-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,52,N
987,2008.09.00,Sep-08,2008,USA,Hutchinson Island,Swimming/Surfing/Boogie Boarding,M,,N
988,2008.08.30.c,30-Aug-08,2008,AUSTRALIA,"Tallow Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,29,N
989,2008.08.30.b,30-Aug-08,2008,USA,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming/Surfing/Boogie Boarding,M,27,Y
990,2008.08.30.a,30-Aug-08,2008,UNITED KINGDOM, Lundy Island,Fishing/Spearfishing,M,52,N
991,2008.08.28,28-Aug-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,19,N
992,2008.08.27,27-Aug-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,26,N
993,2008.08.24,24-Aug-08,2008,USA,"New Smyrna Beach, Volusia County",,M,20,N
994,2008.08.22,24-Aug-08,2008,USA,"Surf City, Topsail Island, Pender County",Swimming/Surfing/Boogie Boarding,F,20,N
995,2008.08.20,20-Aug-08,2008,USA,"Sanibel Island, Lee County",Swimming/Surfing/Boogie Boarding,M,47,N
996,2008.08.18,18-Aug-08,2008,USA,"North Myrtle Beach, Horry County",,M,7,N
997,2008.08.16,16-Aug-08,2008,USA,Buck Island,Standing/Wading/Walking,F,38,N
998,2008.08.12,12-Aug-08,2008,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,F,13,N
999,2008.08.11,11-Aug-08,2008,USA,"Ala Moana Beach Park, Oah'u",Diving/Scuba Diving/Freediving,M,,N
1000,2008.07.30.R,30-Jul-08,2008,AUSTRALIA,Levys Beach,Swimming/Surfing/Boogie Boarding,M,31,N
1001,2008.07.30,Reported 30-Jul-2008,2008,SOUTH AFRICA,,,M,,N
1002,2008.07.27,27-Jul-08,2008,PANAMA,Playa Teta,,M,,N
1003,2008.07.26.b,26-Jul-08,2008,MEXICO,,Swimming/Surfing/Boogie Boarding,M,33,N
1004,2008.07.26.a,26-Jul-08,2008,USA,"Honokowai, Maui",Swimming/Surfing/Boogie Boarding,M,,N
1005,2008.07.25.b,25-Jul-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,17,N
1006,2008.07.25.a,25-Jul-08,2008,USA,"Lahilahi Point, Oahu",Diving/Scuba Diving/Freediving,F,44,N
1007,2008.07.24.b,24-Jul-08,2008,USA,"Surf City, Topsail Island, Pender County",Standing/Wading/Walking,M,9,N
1008,2008.07.24.a,24-Jul-08,2008,USA,"Topsail Island, Pender County",Standing/Wading/Walking,F,8,N
1009,2008.07.23,23-Jul-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,15,N
1010,2008.07.19,19-Jul-08,2008,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,M,16,N
1011,2008.07.18,18-Jul-08,2008,EGYPT,Daedalus Reef,Diving/Scuba Diving/Freediving,M,,N
1012,2008.07.13,13-Jul-08,2008,USA,"Carolina Beach, New Hanover County",Swimming/Surfing/Boogie Boarding,M,52,N
1013,2008.07.11,11-Jul-08,2008,USA,"Isle of Palms, Charleston County",Swimming/Surfing/Boogie Boarding,M,24,N
1014,2008.07.09,09-Jul-08,2008,USA,"Emerald Isle, Carteret County",Swimming/Surfing/Boogie Boarding,F,14,N
1015,2008.07.05,05-Jul-08,2008,USA,"Litchfield Beach, Georgetown County",,F,17,N
1016,2008.07.00,Late Jul-2008,2008,UNITED KINGDOM,"Rock-a-Nore, Hastings",,M,16,N
1017,2008.06.28.c,28-Jun-08,2008,USA,"Kamilo Point, Hawai'i",Standing/Wading/Walking,M,53,Y
1018,2008.06.28.b,28-Jun-08,2008,BAHAMAS,,Fishing/Spearfishing,M,42,N
1019,2008.06.28.a,28-Jun-08,2008,SOUTH AFRICA,Mossel Bay,Kayaking/Canoeing/Rowing,M,46,N
1020,2008.06.26.R,Reported 26-Jun-2008,2008,SOUTH AFRICA,Struis Bay,,M,,N
1021,2008.06.26.b,26-Jun-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,29,N
1022,2008.06.26.a,26-Jun-08,2008,USA,"Isle of Palms, Charleston County",Swimming/Surfing/Boogie Boarding,M,37,N
1023,2008.06.24,24-Jun-08,2008,BRAZIL,Guarajuba,Swimming/Surfing/Boogie Boarding,M,,N
1024,2008.06.21,21-Jun-08,2008,USA,"West Cove, Catalina Island",Kayaking/Canoeing/Rowing,F,40,N
1025,2008.06.20,20-Jun-08,2008,USA,"Fernandina Beach, Nassau County",Standing/Wading/Walking,F,35,N
1026,2008.06.11,11-Jun-08,2008,BRAZIL,"Punta Del Chifre, Olinda",Swimming/Surfing/Boogie Boarding,M,14,N
1027,2008.06.07,07-Jun-08,2008,USA,"Cocoa Beach, Brevard  County",Swimming/Surfing/Boogie Boarding,M,40,N
1028,2008.06.02.R,Reported 02-Jun-2008,2008,UNITED KINGDOM,Balintore Bay,Fishing/Spearfishing,Unknown,,N
1029,2008.06.01.b,01-Jun-08,2008,USA,Cherry Grove,Swimming/Surfing/Boogie Boarding,F,15,N
1030,2008.06.01.a,01-Jun-08,2008,BRAZIL,"Piedade, Recife",Swimming/Surfing/Boogie Boarding,M,14,N
1031,2008.05.26,26-May-08,2008,USA,"Hammocks Beach State Park, Bear Island, Onslow County",Swimming/Surfing/Boogie Boarding,M,9,N
1032,2008.05.24.b,24-May-08,2008,BAHAMAS,Off West End,Sea Disaster/Murder,M,,N
1033,2008.05.24.a,24-May-08,2008,MEXICO,Playa Linda,Swimming/Surfing/Boogie Boarding,M,49,N
1034,2008.05.23,23-May-08,2008,MEXICO,Pantla Beach,Swimming/Surfing/Boogie Boarding,M,21,Y
1035,2008.05.14,14-May-08,2008,FIJI,Turtle Island,,M,28,Y
1036,2008.05.10,10-May-08,2008,AUSTRALIA,Albany,Swimming/Surfing/Boogie Boarding,M,37,N
1037,2008.05.07.b,07-May-08,2008,NEW CALEDONIA,Hienghène,Fishing/Spearfishing,M,40,N
1038,2008.05.07.a,07-May-08,2008,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,M,6,N
1039,2008.05.01,01-May-08,2008,SOUTH AFRICA,,Fishing/Spearfishing,M,24,N
1040,2008.04.28.b,28-Apr-08,2008,MEXICO,Troncones Beach,Swimming/Surfing/Boogie Boarding,M,24,Y
1041,2008.04.28.a,28-Apr-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,18,N
1042,2008.04.27,27-Apr-08,2008,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,24,N
